@relation pageBlocks.data
@attribute height numeric
@attribute lenght numeric
@attribute area numeric
@attribute eccen numeric
@attribute p_black numeric
@attribute p_and numeric
@attribute mean_tr numeric
@attribute blackpix numeric
@attribute blackand numeric
@attribute wb_trans numeric
@attribute class  hierarchical 1-2-3-4-5/1-2/1, 1-2-3-4-5/1-2/2, 1-2-3-4-5/3-4-5/3-5/3, 1-2-3-4-5/3-4-5/4, 1-2-3-4-5/3-4-5/3-5/5

@data
1,52,52,52,0.981,1,51,51,52,1,1-2-3-4-5/1-2/2
9,82,738,9.111,0.389,0.92,2.33,287,679,123,1-2-3-4-5/1-2/1
10,63,630,6.3,0.294,0.895,2.2,185,564,84,1-2-3-4-5/1-2/1
9,43,387,4.778,0.509,0.959,3.58,197,371,55,1-2-3-4-5/1-2/1
10,40,400,4,0.428,0.895,3.05,171,358,56,1-2-3-4-5/1-2/1
1,115,115,115,0.2,1,4.6,23,115,5,1-2-3-4-5/1-2/2
7,17,119,2.429,0.412,0.933,2.72,49,111,18,1-2-3-4-5/1-2/1
10,22,220,2.2,0.336,0.836,2.74,74,184,27,1-2-3-4-5/1-2/1
28,330,9240,11.786,0.057,0.066,31,527,614,17,1-2-3-4-5/1-2/2
23,26,598,1.13,0.278,0.96,1.8,166,574,92,1-2-3-4-5/1-2/1
23,47,1081,2.043,0.315,0.747,2.2,341,808,155,1-2-3-4-5/1-2/1
9,99,891,11,0.38,0.93,1.92,339,829,177,1-2-3-4-5/1-2/1
9,36,324,4,0.586,0.948,3.45,190,307,55,1-2-3-4-5/1-2/1
9,7,63,0.778,0.302,0.603,1.9,19,38,10,1-2-3-4-5/1-2/1
10,85,850,8.5,0.324,0.675,2.25,275,574,122,1-2-3-4-5/1-2/1
10,43,430,4.3,0.458,0.94,3.58,197,404,55,1-2-3-4-5/1-2/1
1,35,35,35,0.829,1,9.67,29,35,3,1-2-3-4-5/1-2/2
11,9,99,0.818,0.515,0.768,8.5,51,76,6,1-2-3-4-5/1-2/1
11,8,88,0.727,0.693,0.989,10.17,61,87,6,1-2-3-4-5/1-2/1
9,49,441,5.444,0.592,0.998,2.97,261,440,88,1-2-3-4-5/1-2/1
8,36,288,4.5,0.465,0.885,2.13,134,255,63,1-2-3-4-5/1-2/1
9,6,54,0.667,0.37,0.907,2.5,20,49,8,1-2-3-4-5/1-2/1
8,38,304,4.75,0.349,0.757,1.93,106,230,55,1-2-3-4-5/1-2/1
9,82,738,9.111,0.309,0.778,1.93,228,574,118,1-2-3-4-5/1-2/1
8,16,128,2,0.156,0.859,5,20,110,4,1-2-3-4-5/3-4-5/3-5/5
12,26,312,2.167,0.276,0.83,2.21,86,259,39,1-2-3-4-5/1-2/1
1,11,11,11,0.727,1,4,8,11,2,1-2-3-4-5/1-2/2
1,13,13,13,0.692,1,3,9,13,3,1-2-3-4-5/1-2/2
12,117,1404,9.75,0.251,0.635,1.86,353,891,190,1-2-3-4-5/1-2/1
8,40,320,5,0.409,0.997,2.22,131,319,59,1-2-3-4-5/1-2/1
8,42,336,5.25,0.39,0.94,2.43,131,316,54,1-2-3-4-5/1-2/1
7,31,217,4.429,0.221,0.853,1.78,48,185,27,1-2-3-4-5/1-2/1
13,33,429,2.538,0.245,0.534,3.89,105,229,27,1-2-3-4-5/1-2/1
10,38,380,3.8,0.424,0.939,2.78,161,357,58,1-2-3-4-5/1-2/1
9,36,324,4,0.506,0.91,2.93,164,295,56,1-2-3-4-5/1-2/1
10,80,800,8,0.279,0.8,1.92,223,640,116,1-2-3-4-5/1-2/1
9,27,243,3,0.346,0.975,1.87,84,237,45,1-2-3-4-5/1-2/1
12,48,576,4,0.252,0.755,1.71,145,435,85,1-2-3-4-5/1-2/1
8,33,264,4.125,0.314,0.705,2.13,83,186,39,1-2-3-4-5/1-2/1
10,99,990,9.9,0.443,0.912,2.64,439,903,166,1-2-3-4-5/1-2/1
2,14,28,7,0.286,0.821,8,8,23,1,1-2-3-4-5/1-2/2
1,29,29,29,1,1,29,29,29,1,1-2-3-4-5/1-2/2
1,14,14,14,0.929,1,13,13,14,1,1-2-3-4-5/1-2/2
1,45,45,45,0.933,1,21,42,45,2,1-2-3-4-5/1-2/2
9,39,351,4.333,0.444,0.923,2.74,156,324,57,1-2-3-4-5/1-2/1
9,21,189,2.333,0.497,0.958,3.62,94,181,26,1-2-3-4-5/1-2/1
9,36,324,4,0.577,0.948,3.02,187,307,62,1-2-3-4-5/1-2/1
10,49,490,4.9,0.529,0.939,3.01,259,460,86,1-2-3-4-5/1-2/1
10,29,290,2.9,0.221,0.572,3.56,64,166,18,1-2-3-4-5/1-2/1
11,116,1276,10.545,0.274,0.804,1.8,350,1026,194,1-2-3-4-5/1-2/1
9,43,387,4.778,0.481,0.953,3.15,186,369,59,1-2-3-4-5/1-2/1
1,35,35,35,0.857,1,10,30,35,3,1-2-3-4-5/1-2/2
8,3,24,0.375,0.458,0.667,2.2,11,16,5,1-2-3-4-5/1-2/1
7,14,98,2,0.327,0.99,2.67,32,97,12,1-2-3-4-5/1-2/1
1,69,69,69,0.841,1,8.29,58,69,7,1-2-3-4-5/1-2/2
8,76,608,9.5,0.388,0.903,2.11,236,549,112,1-2-3-4-5/1-2/1
9,83,747,9.222,0.289,0.751,1.93,216,561,112,1-2-3-4-5/1-2/1
11,89,979,8.091,0.17,0.706,2.72,166,691,61,1-2-3-4-5/1-2/1
9,76,684,8.444,0.358,0.795,2.19,245,544,112,1-2-3-4-5/1-2/1
8,71,568,8.875,0.312,0.866,1.86,177,492,95,1-2-3-4-5/1-2/1
13,116,1508,8.923,0.279,0.658,2.3,421,992,183,1-2-3-4-5/1-2/1
9,93,837,10.333,0.259,0.895,1.74,217,749,125,1-2-3-4-5/1-2/1
9,109,981,12.111,0.243,0.848,1.58,238,832,151,1-2-3-4-5/1-2/1
9,133,1197,14.778,0.236,0.718,1.89,283,859,150,1-2-3-4-5/1-2/1
6,43,258,7.167,0.205,0.69,1.77,53,178,30,1-2-3-4-5/1-2/1
22,72,1584,3.273,0.52,0.856,10.04,823,1356,82,1-2-3-4-5/1-2/1
10,86,860,8.6,0.423,0.914,2.44,364,786,149,1-2-3-4-5/1-2/1
13,409,5317,31.462,0.267,0.582,2.23,1421,3095,637,1-2-3-4-5/1-2/1
22,71,1562,3.227,0.487,0.834,10.13,760,1302,75,1-2-3-4-5/1-2/1
14,217,3038,15.5,0.268,0.632,2.12,813,1919,383,1-2-3-4-5/1-2/1
10,35,350,3.5,0.337,0.714,1.87,118,250,63,1-2-3-4-5/1-2/1
12,80,960,6.667,0.324,0.673,2.45,311,646,127,1-2-3-4-5/1-2/1
10,77,770,7.7,0.469,0.905,2.64,361,697,137,1-2-3-4-5/1-2/1
9,62,558,6.889,0.348,0.869,2.23,194,485,87,1-2-3-4-5/1-2/1
10,90,900,9,0.501,0.868,3.92,451,781,115,1-2-3-4-5/1-2/1
10,119,1190,11.9,0.39,0.81,2.75,464,964,169,1-2-3-4-5/1-2/1
9,108,972,12,0.449,0.868,2.55,436,844,171,1-2-3-4-5/1-2/1
13,30,390,2.308,0.356,0.649,3.23,139,253,43,1-2-3-4-5/1-2/1
9,35,315,3.889,0.59,0.86,3.88,186,271,48,1-2-3-4-5/1-2/1
12,37,444,3.083,0.41,0.748,3.87,182,332,47,1-2-3-4-5/1-2/1
10,61,610,6.1,0.487,0.834,3.13,297,509,95,1-2-3-4-5/1-2/1
9,108,972,12,0.376,0.815,2.35,365,792,155,1-2-3-4-5/1-2/1
47,286,13442,6.085,0.183,0.317,4.67,2459,4258,526,1-2-3-4-5/3-4-5/3-5/5
25,115,2875,4.6,0.296,0.65,2.56,851,1868,333,1-2-3-4-5/1-2/1
9,91,819,10.111,0.233,0.789,1.71,191,646,112,1-2-3-4-5/1-2/1
8,61,488,7.625,0.316,0.967,2.03,154,472,76,1-2-3-4-5/1-2/1
10,35,350,3.5,0.434,0.803,2.34,152,281,65,1-2-3-4-5/1-2/1
9,40,360,4.444,0.494,0.925,2.92,178,333,61,1-2-3-4-5/1-2/1
7,116,812,16.571,0.309,0.676,2.2,251,549,114,1-2-3-4-5/1-2/1
8,192,1536,24,0.316,0.746,1.74,485,1146,279,1-2-3-4-5/1-2/1
6,45,270,7.5,0.456,0.967,1.64,123,261,75,1-2-3-4-5/1-2/1
10,413,4130,41.3,0.315,0.731,2.47,1302,3018,527,1-2-3-4-5/1-2/1
12,69,828,5.75,0.4,0.74,3.48,331,613,95,1-2-3-4-5/1-2/1
10,121,1210,12.1,0.402,0.849,2.7,486,1027,180,1-2-3-4-5/1-2/1
33,28,924,0.848,0.098,0.271,5.69,91,250,16,1-2-3-4-5/3-4-5/3-5/5
6,39,234,6.5,0.466,0.889,2.1,109,208,52,1-2-3-4-5/1-2/1
9,264,2376,29.333,0.261,0.612,1.99,619,1455,311,1-2-3-4-5/1-2/1
7,12,84,1.714,0.476,0.762,2.86,40,64,14,1-2-3-4-5/1-2/1
7,24,168,3.429,0.101,0.298,1.89,17,50,9,1-2-3-4-5/3-4-5/3-5/5
8,271,2168,33.875,0.314,0.819,1.82,681,1775,375,1-2-3-4-5/1-2/1
9,198,1782,22,0.289,0.681,1.88,515,1213,274,1-2-3-4-5/1-2/1
8,7,56,0.875,0.304,0.946,1.55,17,53,11,1-2-3-4-5/1-2/1
8,55,440,6.875,0.243,0.657,1.39,107,289,77,1-2-3-4-5/1-2/1
8,272,2176,34,0.189,0.688,1.32,411,1497,311,1-2-3-4-5/1-2/1
7,213,1491,30.429,0.199,0.733,1.25,296,1093,237,1-2-3-4-5/1-2/1
8,7,56,0.875,0.393,0.946,2,22,53,11,1-2-3-4-5/1-2/1
8,28,224,3.5,0.299,0.969,1.6,67,217,42,1-2-3-4-5/1-2/1
16,30,480,1.875,0.133,0.471,2.29,64,226,28,1-2-3-4-5/3-4-5/3-5/5
6,9,54,1.5,0.148,0.296,4,8,16,2,1-2-3-4-5/3-4-5/3-5/5
6,9,54,1.5,0.352,0.87,1.58,19,47,12,1-2-3-4-5/1-2/1
8,10,80,1.25,0.313,0.675,1.92,25,54,13,1-2-3-4-5/1-2/1
8,37,296,4.625,0.334,0.993,1.29,99,294,77,1-2-3-4-5/1-2/1
7,5,35,0.714,0.2,0.429,7,7,15,1,1-2-3-4-5/1-2/1
10,236,2360,23.6,0.183,0.572,1.31,432,1349,330,1-2-3-4-5/1-2/1
8,271,2168,33.875,0.217,0.786,1.29,470,1704,364,1-2-3-4-5/1-2/1
10,173,1730,17.3,0.09,0.375,1.52,155,649,102,1-2-3-4-5/1-2/1
7,17,119,2.429,0.328,0.731,1.44,39,87,27,1-2-3-4-5/1-2/1
7,21,147,3,0.313,0.966,1.48,46,142,31,1-2-3-4-5/1-2/1
11,103,1133,9.364,0.156,0.576,1.44,177,653,123,1-2-3-4-5/1-2/1
8,15,120,1.875,0.3,0.642,1.57,36,77,23,1-2-3-4-5/1-2/1
5,7,35,1.4,0.4,0.657,2.33,14,23,6,1-2-3-4-5/1-2/1
5,12,60,2.4,0.383,0.883,1.92,23,53,12,1-2-3-4-5/1-2/1
8,21,168,2.625,0.262,0.696,1.52,44,117,29,1-2-3-4-5/1-2/1
8,99,792,12.375,0.199,0.662,1.39,158,524,114,1-2-3-4-5/1-2/1
5,12,60,2.4,0.317,0.75,1.46,19,45,13,1-2-3-4-5/1-2/1
8,12,96,1.5,0.208,0.771,1.11,20,74,18,1-2-3-4-5/1-2/1
6,32,192,5.333,0.292,0.698,1.37,56,134,41,1-2-3-4-5/1-2/1
8,11,88,1.375,0.159,0.477,1.75,14,42,8,1-2-3-4-5/1-2/1
7,41,287,5.857,0.209,0.652,1.36,60,187,44,1-2-3-4-5/1-2/1
9,15,135,1.667,0.178,0.556,1.6,24,75,15,1-2-3-4-5/1-2/1
10,12,120,1.2,0.142,0.317,2.83,17,38,6,1-2-3-4-5/1-2/1
5,3,15,0.6,0.6,1,4.5,9,15,2,1-2-3-4-5/1-2/1
7,19,133,2.714,0.406,1,1.69,54,133,32,1-2-3-4-5/1-2/1
7,29,203,4.143,0.305,0.837,1.48,62,170,42,1-2-3-4-5/1-2/1
7,54,378,7.714,0.254,0.608,1.39,96,230,69,1-2-3-4-5/1-2/1
9,49,441,5.444,0.265,0.744,1.6,117,328,73,1-2-3-4-5/1-2/1
7,27,189,3.857,0.28,0.947,1.33,53,179,40,1-2-3-4-5/1-2/1
7,21,147,3,0.354,0.939,1.63,52,138,32,1-2-3-4-5/1-2/1
10,262,2620,26.2,0.179,0.606,1.36,469,1587,344,1-2-3-4-5/1-2/1
7,20,140,2.857,0.364,0.871,1.46,51,122,35,1-2-3-4-5/1-2/1
7,66,462,9.429,0.294,0.924,1.46,136,427,93,1-2-3-4-5/1-2/1
9,49,441,5.444,0.272,0.791,1.38,120,349,87,1-2-3-4-5/1-2/1
9,41,369,4.556,0.244,0.661,1.32,90,244,68,1-2-3-4-5/1-2/1
6,33,198,5.5,0.268,0.848,1.39,53,168,38,1-2-3-4-5/1-2/1
7,13,91,1.857,0.374,0.978,1.79,34,89,19,1-2-3-4-5/1-2/1
7,14,98,2,0.337,0.786,1.38,33,77,24,1-2-3-4-5/1-2/1
5,11,55,2.2,0.455,1,1.67,25,55,15,1-2-3-4-5/1-2/1
9,21,189,2.333,0.206,0.778,1.22,39,147,32,1-2-3-4-5/1-2/1
7,15,105,2.143,0.333,0.838,1.46,35,88,24,1-2-3-4-5/1-2/1
8,16,128,2,0.234,0.922,1.58,30,118,19,1-2-3-4-5/1-2/1
6,33,198,5.5,0.247,0.813,1.2,49,161,41,1-2-3-4-5/1-2/1
6,10,60,1.667,0.333,0.75,1.54,20,45,13,1-2-3-4-5/1-2/1
5,7,35,1.4,0.429,0.971,1.36,15,34,11,1-2-3-4-5/1-2/1
7,44,308,6.286,0.218,0.734,1.26,67,226,53,1-2-3-4-5/1-2/1
7,13,91,1.857,0.363,1,1.94,33,91,17,1-2-3-4-5/1-2/1
7,11,77,1.571,0.403,0.974,1.48,31,75,21,1-2-3-4-5/1-2/1
9,54,486,6,0.191,0.741,1.24,93,360,75,1-2-3-4-5/1-2/1
7,13,91,1.857,0.286,0.989,1.73,26,90,15,1-2-3-4-5/1-2/1
8,20,160,2.5,0.206,0.813,1.38,33,130,24,1-2-3-4-5/1-2/1
7,8,56,1.143,0.339,0.875,2.38,19,49,8,1-2-3-4-5/1-2/1
7,16,112,2.286,0.286,0.705,1.88,32,79,17,1-2-3-4-5/1-2/1
7,34,238,4.857,0.273,0.584,1.55,65,139,42,1-2-3-4-5/1-2/1
7,11,77,1.571,0.247,0.61,1.36,19,47,14,1-2-3-4-5/1-2/1
7,27,189,3.857,0.286,1,1.32,54,189,41,1-2-3-4-5/1-2/1
7,20,140,2.857,0.257,0.75,1.33,36,105,27,1-2-3-4-5/1-2/1
5,11,55,2.2,0.364,1,1.33,20,55,15,1-2-3-4-5/1-2/1
7,32,224,4.571,0.308,0.777,1.25,69,174,55,1-2-3-4-5/1-2/1
7,24,168,3.429,0.28,0.607,1.38,47,102,34,1-2-3-4-5/1-2/1
9,28,252,3.111,0.25,0.77,1.47,63,194,43,1-2-3-4-5/1-2/1
7,20,140,2.857,0.229,0.864,1.19,32,121,27,1-2-3-4-5/1-2/1
6,19,114,3.167,0.307,0.904,1.59,35,103,22,1-2-3-4-5/1-2/1
7,32,224,4.571,0.272,0.862,1.53,61,193,40,1-2-3-4-5/1-2/1
7,22,154,3.143,0.325,0.805,1.32,50,124,38,1-2-3-4-5/1-2/1
7,11,77,1.571,0.299,1,1.77,23,77,13,1-2-3-4-5/1-2/1
6,30,180,5,0.311,0.8,1.22,56,144,46,1-2-3-4-5/1-2/1
4,22,88,5.5,0.432,0.977,1.46,38,86,26,1-2-3-4-5/1-2/1
7,16,112,2.286,0.259,1,2.07,29,112,14,1-2-3-4-5/1-2/1
7,6,42,0.857,0.333,0.643,1.75,14,27,8,1-2-3-4-5/1-2/1
6,27,162,4.5,0.241,0.988,1.11,39,160,35,1-2-3-4-5/1-2/1
10,37,370,3.7,0.154,0.457,1.39,57,169,41,1-2-3-4-5/1-2/1
7,20,140,2.857,0.357,0.7,1.85,50,98,27,1-2-3-4-5/1-2/1
7,43,301,6.143,0.319,0.801,1.41,96,241,68,1-2-3-4-5/1-2/1
9,44,396,4.889,0.24,0.775,1.42,95,307,67,1-2-3-4-5/1-2/1
8,48,384,6,0.221,0.557,1.37,85,214,62,1-2-3-4-5/1-2/1
7,17,119,2.429,0.336,0.874,1.74,40,104,23,1-2-3-4-5/1-2/1
5,32,160,6.4,0.406,1,1.41,65,160,46,1-2-3-4-5/1-2/1
5,28,140,5.6,0.321,0.95,1.45,45,133,31,1-2-3-4-5/1-2/1
7,33,231,4.714,0.364,0.753,1.68,84,174,50,1-2-3-4-5/1-2/1
7,36,252,5.143,0.262,0.671,1.27,66,169,52,1-2-3-4-5/1-2/1
7,18,126,2.571,0.357,1,1.55,45,126,29,1-2-3-4-5/1-2/1
7,33,231,4.714,0.351,0.957,1.45,81,221,56,1-2-3-4-5/1-2/1
7,11,77,1.571,0.299,0.987,1.35,23,76,17,1-2-3-4-5/1-2/1
9,25,225,2.778,0.249,0.911,1.51,56,205,37,1-2-3-4-5/1-2/1
9,14,126,1.556,0.238,0.897,1.36,30,113,22,1-2-3-4-5/1-2/1
9,18,162,2,0.241,0.981,1.44,39,159,27,1-2-3-4-5/1-2/1
9,55,495,6.111,0.255,0.697,1.38,126,345,91,1-2-3-4-5/1-2/1
9,202,1818,22.444,0.087,0.254,1.3,158,462,122,1-2-3-4-5/1-2/1
9,42,378,4.667,0.198,0.563,1.15,75,213,65,1-2-3-4-5/1-2/1
6,17,102,2.833,0.294,0.863,1.15,30,88,26,1-2-3-4-5/1-2/1
5,32,160,6.4,0.419,0.981,1.31,67,157,51,1-2-3-4-5/1-2/1
9,7,63,0.778,0.286,0.778,2,18,49,9,1-2-3-4-5/1-2/1
6,10,60,1.667,0.45,0.85,1.93,27,51,14,1-2-3-4-5/1-2/1
8,46,368,5.75,0.34,0.611,1.79,125,225,70,1-2-3-4-5/1-2/1
8,48,384,6,0.341,0.737,1.96,131,283,67,1-2-3-4-5/1-2/1
7,8,56,1.143,0.464,0.768,2.17,26,43,12,1-2-3-4-5/1-2/1
8,9,72,1.125,0.319,0.639,2.09,23,46,11,1-2-3-4-5/1-2/1
11,25,275,2.273,0.276,0.629,1.9,76,173,40,1-2-3-4-5/1-2/1
10,29,290,2.9,0.307,0.855,1.85,89,248,48,1-2-3-4-5/1-2/1
8,43,344,5.375,0.398,0.939,2.4,137,323,57,1-2-3-4-5/1-2/1
36,48,1728,1.333,0.143,0.437,3.58,247,755,69,1-2-3-4-5/3-4-5/3-5/5
11,34,374,3.091,0.324,0.872,2.47,121,326,49,1-2-3-4-5/1-2/1
12,271,3252,22.583,0.238,0.571,1.98,773,1857,391,1-2-3-4-5/1-2/1
7,46,322,6.571,0.177,0.304,8.14,57,98,7,1-2-3-4-5/1-2/2
8,141,1128,17.625,0.371,0.977,1.84,418,1102,227,1-2-3-4-5/1-2/1
8,23,184,2.875,0.359,0.94,1.65,66,173,40,1-2-3-4-5/1-2/1
6,5,30,0.833,0.367,1,2.2,11,30,5,1-2-3-4-5/3-4-5/3-5/5
53,48,2544,0.906,0.157,0.269,7.84,400,685,51,1-2-3-4-5/3-4-5/3-5/5
9,47,423,5.222,0.362,0.905,2.01,153,383,76,1-2-3-4-5/1-2/1
8,10,80,1.25,0.425,0.925,2.13,34,74,16,1-2-3-4-5/1-2/1
11,84,924,7.636,0.279,0.679,2.35,258,627,110,1-2-3-4-5/1-2/1
10,36,360,3.6,0.367,0.844,2.24,132,304,59,1-2-3-4-5/1-2/1
10,9,90,0.9,0.344,0.889,2.82,31,80,11,1-2-3-4-5/1-2/1
6,18,108,3,0.537,0.981,2.64,58,106,22,1-2-3-4-5/1-2/1
6,4,24,0.667,0.667,1,8,16,24,2,1-2-3-4-5/1-2/1
8,23,184,2.875,0.38,0.989,1.75,70,182,40,1-2-3-4-5/1-2/1
8,5,40,0.625,0.45,1,3,18,40,6,1-2-3-4-5/1-2/1
7,38,266,5.429,0.414,0.846,2.44,110,225,45,1-2-3-4-5/1-2/1
12,272,3264,22.667,0.249,0.602,2.01,812,1965,404,1-2-3-4-5/1-2/1
8,12,96,1.5,0.448,0.896,2.05,43,86,21,1-2-3-4-5/1-2/1
10,13,130,1.3,0.385,0.823,2,50,107,25,1-2-3-4-5/1-2/1
8,18,144,2.25,0.361,0.944,2.17,52,136,24,1-2-3-4-5/1-2/1
11,271,2981,24.636,0.278,0.728,1.99,829,2171,417,1-2-3-4-5/1-2/1
11,272,2992,24.727,0.283,0.703,1.97,847,2103,431,1-2-3-4-5/1-2/1
6,33,198,5.5,0.52,0.995,2.24,103,197,46,1-2-3-4-5/1-2/1
8,27,216,3.375,0.407,1,2.05,88,216,43,1-2-3-4-5/1-2/1
8,12,96,1.5,0.438,1,1.91,42,96,22,1-2-3-4-5/1-2/1
10,26,260,2.6,0.296,0.942,2.2,77,245,35,1-2-3-4-5/1-2/1
6,8,48,1.333,0.563,0.958,3.38,27,46,8,1-2-3-4-5/1-2/1
10,64,640,6.4,0.189,0.4,2.12,121,256,57,1-2-3-4-5/1-2/1
8,22,176,2.75,0.403,1,2.03,71,176,35,1-2-3-4-5/1-2/1
8,31,248,3.875,0.415,1,1.87,103,248,55,1-2-3-4-5/1-2/1
8,16,128,2,0.43,1,2.04,55,128,27,1-2-3-4-5/1-2/1
10,69,690,6.9,0.277,0.68,1.85,191,469,103,1-2-3-4-5/1-2/1
10,145,1450,14.5,0.278,0.724,1.9,403,1050,212,1-2-3-4-5/1-2/1
11,126,1386,11.455,0.273,0.649,2.11,379,900,180,1-2-3-4-5/1-2/1
8,10,80,1.25,0.375,0.85,1.88,30,68,16,1-2-3-4-5/1-2/1
8,8,64,1,0.359,0.766,1.64,23,49,14,1-2-3-4-5/1-2/1
8,15,120,1.875,0.375,0.85,1.88,45,102,24,1-2-3-4-5/1-2/1
11,57,627,5.182,0.271,0.577,1.87,170,362,91,1-2-3-4-5/1-2/1
8,14,112,1.75,0.375,0.839,2.1,42,94,20,1-2-3-4-5/1-2/1
10,12,120,1.2,0.4,0.933,2.29,48,112,21,1-2-3-4-5/1-2/1
10,26,260,2.6,0.273,0.815,1.87,71,212,38,1-2-3-4-5/1-2/1
8,76,608,9.5,0.314,0.711,1.87,191,432,102,1-2-3-4-5/1-2/1
10,18,180,1.8,0.294,0.911,1.89,53,164,28,1-2-3-4-5/1-2/1
7,8,56,1.143,0.429,0.964,1.85,24,54,13,1-2-3-4-5/1-2/1
9,105,945,11.667,0.236,0.579,1.91,223,547,117,1-2-3-4-5/1-2/1
8,64,512,8,0.385,0.912,1.93,197,467,102,1-2-3-4-5/1-2/1
5,10,50,2,0.5,0.84,2.08,25,42,12,1-2-3-4-5/1-2/1
6,12,72,2,0.486,0.944,2.19,35,68,16,1-2-3-4-5/1-2/1
7,7,49,1,0.265,0.612,3.25,13,30,4,1-2-3-4-5/1-2/1
8,29,232,3.625,0.444,1,2.15,103,232,48,1-2-3-4-5/1-2/1
9,19,171,2.111,0.298,0.737,2.68,51,126,19,1-2-3-4-5/1-2/1
10,7,70,0.7,0.314,0.857,1.83,22,60,12,1-2-3-4-5/1-2/1
10,23,230,2.3,0.27,0.648,2,62,149,31,1-2-3-4-5/1-2/1
4,10,40,2.5,0.5,0.9,4,20,36,5,1-2-3-4-5/1-2/1
8,16,128,2,0.328,0.969,1.91,42,124,22,1-2-3-4-5/1-2/1
10,261,2610,26.1,0.259,0.767,1.74,676,2001,388,1-2-3-4-5/1-2/1
8,23,184,2.875,0.348,0.723,2,64,133,32,1-2-3-4-5/1-2/1
7,34,238,4.857,0.403,0.849,1.81,96,202,53,1-2-3-4-5/1-2/1
11,109,1199,9.909,0.234,0.62,1.92,281,743,146,1-2-3-4-5/1-2/1
10,103,1030,10.3,0.25,0.61,1.77,258,628,146,1-2-3-4-5/1-2/1
