@relation pendigits.data

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
7,90,55,100,93,82,79,54,41,31,0,10,40,0,100,0,3
4,100,2,82,0,50,46,35,100,42,100,63,93,32,93,0,4
0,29,32,52,68,76,100,100,95,76,89,50,78,25,76,0,1
63,78,83,100,100,80,78,53,42,30,0,8,30,0,93,3,2
42,79,93,100,89,96,39,78,51,43,100,33,56,3,0,0,5
0,0,39,12,76,32,96,58,97,84,59,100,53,77,100,63,9
0,88,39,100,77,83,77,42,72,0,42,11,54,27,100,26,7
100,98,75,96,22,100,0,83,38,66,80,42,56,6,5,0,5
19,77,0,37,13,0,63,9,97,41,100,82,58,100,15,77,0
32,84,0,55,18,1,76,0,100,52,71,100,34,61,43,5,0
76,100,18,73,0,50,81,48,100,70,67,74,33,37,8,0,4
25,84,56,54,47,17,5,0,0,35,10,72,52,90,100,100,5
32,98,8,71,56,25,28,0,0,42,77,69,100,100,15,92,8
0,83,42,100,100,86,75,43,50,0,11,15,2,27,69,29,7
93,100,58,79,28,50,8,18,47,0,100,14,58,25,0,19,6
81,100,55,92,17,61,3,26,41,0,100,14,65,44,0,60,6
8,64,65,74,100,100,43,93,0,66,57,72,48,42,27,0,9
0,50,28,70,77,93,100,100,77,75,56,50,44,25,62,0,1
23,100,0,65,5,23,52,0,100,21,95,62,53,92,12,66,0
66,98,22,67,100,88,17,100,11,52,0,0,79,13,22,53,8
18,100,23,69,57,39,29,0,0,27,0,75,40,94,100,99,5
30,83,8,43,19,3,71,0,100,36,87,78,39,100,0,73,0
0,54,27,64,63,83,100,100,97,78,81,53,68,26,63,0,1
18,91,0,48,22,6,66,0,100,30,91,76,52,100,16,76,0
36,90,84,100,100,75,62,51,82,45,85,13,38,0,0,19,3
28,100,0,80,25,53,96,46,100,74,71,66,43,33,28,0,4
33,93,84,100,90,78,46,59,94,47,100,18,56,1,0,0,3
39,89,37,59,65,29,24,0,6,37,0,80,38,100,100,98,5
84,83,22,76,8,95,72,100,100,76,77,47,41,22,0,0,9
26,81,67,100,82,80,53,54,77,40,100,18,56,0,0,1,3
14,78,45,100,62,71,34,39,0,14,15,8,58,8,100,0,2
44,81,72,100,100,82,64,58,99,42,93,13,47,1,0,0,3
20,100,17,74,0,45,25,26,81,25,95,50,95,30,100,0,4
3,85,38,100,59,78,45,48,22,21,0,0,52,0,100,1,2
29,78,52,100,72,80,65,61,100,43,81,14,33,0,0,20,3
50,100,28,70,79,38,65,0,0,5,20,45,37,85,100,96,5
97,82,62,100,13,69,63,59,100,88,96,41,64,1,0,0,9
97,100,57,82,24,51,0,20,32,0,100,12,91,42,25,56,6
88,100,82,82,45,49,0,22,38,34,94,36,100,42,98,0,4
24,77,73,100,100,77,62,37,21,0,0,9,25,39,84,31,7
0,53,45,68,80,90,100,100,98,75,98,50,95,25,93,0,1
43,100,10,80,0,51,43,29,95,40,100,53,61,28,39,0,4
75,93,46,87,10,49,0,8,58,0,100,31,66,66,22,100,0
100,62,47,55,0,73,21,100,73,91,79,57,55,25,16,0,9
46,84,65,46,65,9,0,0,30,29,84,57,100,94,44,100,8
34,100,5,59,0,46,100,47,94,81,64,86,62,43,50,0,4
0,100,50,99,47,69,32,35,20,0,10,29,44,44,100,47,7
0,62,27,64,61,84,100,100,90,77,70,51,50,25,35,0,1
0,91,28,100,73,91,55,46,40,0,28,8,44,38,100,45,7
0,100,15,87,8,66,20,46,66,50,77,40,87,20,100,0,4
38,79,69,100,88,80,61,56,87,38,100,13,53,0,0,2,3
78,79,40,100,6,71,16,33,16,0,0,32,46,58,100,80,8
100,99,52,79,0,70,26,100,80,100,81,65,57,32,35,0,9
36,68,72,100,81,90,63,46,47,7,0,2,49,0,100,2,1
25,100,8,84,0,63,0,44,33,30,83,34,87,18,100,0,4
3,90,41,100,100,100,89,68,54,33,19,0,0,15,54,23,7
38,100,10,69,0,27,29,0,71,9,100,42,88,81,46,92,0
22,71,55,44,42,11,0,0,1,37,13,71,53,91,100,100,5
27,51,0,22,43,0,90,13,100,54,75,93,27,100,12,61,0
4,85,39,100,83,85,57,60,59,41,100,21,62,0,0,1,3
77,100,28,80,63,41,59,0,0,10,47,44,100,75,61,94,8
100,97,49,100,11,82,10,51,54,52,76,29,47,5,0,0,5
34,74,75,100,100,69,76,27,34,0,0,10,49,15,100,5,2
0,63,55,75,84,97,100,100,91,75,81,50,77,25,81,0,1
88,81,51,100,11,79,60,69,100,69,95,24,53,0,0,1,9
27,95,1,56,41,32,16,0,0,24,12,75,55,93,100,100,5
40,100,6,66,0,11,41,0,81,19,100,65,60,87,19,77,0
57,72,100,93,47,100,0,78,52,71,94,57,69,28,39,0,9
0,58,39,38,56,5,27,0,6,35,18,64,59,83,100,100,5
20,84,58,100,59,74,53,53,100,42,98,15,53,0,0,1,3
65,100,45,90,14,57,0,23,43,0,100,16,80,45,35,27,6
17,73,35,43,37,10,0,0,7,36,18,70,58,87,100,100,5
19,100,0,71,10,43,53,34,93,43,100,55,80,27,59,0,4
0,67,53,82,100,100,86,84,75,63,67,42,63,21,55,0,1
14,88,62,100,97,86,70,62,34,42,0,20,45,6,100,0,2
54,88,24,76,66,51,47,2,0,0,18,48,50,92,100,100,5
29,66,53,100,92,91,81,52,50,18,0,0,42,6,100,6,2
100,87,37,100,0,74,90,82,90,92,67,61,43,30,49,0,9
76,100,36,75,10,47,0,17,43,0,100,12,63,31,3,23,6
30,63,61,100,100,82,76,39,42,0,74,9,53,49,0,63,8
100,100,58,93,25,70,6,43,0,16,37,0,60,23,18,37,6
16,100,9,74,0,33,23,0,77,13,100,50,70,80,15,74,0
67,100,24,78,0,49,0,19,44,0,100,10,65,28,10,18,6
74,69,100,100,84,86,70,51,47,19,0,0,36,7,98,10,1
0,94,60,100,75,82,65,51,63,20,62,0,39,28,100,38,7
100,100,96,97,93,80,82,63,71,46,46,30,25,14,0,0,1
0,95,44,100,74,82,65,41,57,0,42,11,55,31,100,32,7
12,87,58,100,77,74,43,45,5,20,0,3,55,1,100,0,2
0,52,38,60,72,78,100,100,96,81,84,54,74,27,73,0,1
30,96,31,62,60,26,24,0,8,35,0,76,35,100,100,100,5
0,91,32,100,49,77,39,50,21,25,20,5,60,3,100,0,2
5,64,30,83,100,100,75,80,50,60,25,40,0,20,5,0,1
68,55,98,94,35,100,0,65,75,80,100,61,76,20,6,0,9
88,82,44,100,49,68,100,84,93,63,98,23,57,0,0,12,9
17,91,24,72,59,40,29,0,5,33,0,90,49,96,100,100,5
30,88,76,100,100,77,62,50,53,36,94,17,51,0,0,3,3
100,100,56,80,26,55,1,27,11,0,69,4,50,19,0,14,6
0,61,34,68,68,82,100,100,100,87,81,58,63,30,50,0,1
31,100,0,67,2,26,42,0,86,20,100,60,73,93,25,85,0
44,85,76,100,79,70,54,41,23,16,0,0,50,5,100,1,2
0,58,35,62,70,83,100,100,91,74,82,49,74,23,78,0,1
24,91,49,100,68,84,51,59,78,37,100,15,56,1,0,0,3
0,77,38,89,56,100,46,57,47,15,100,11,45,4,8,0,1
0,43,30,54,60,77,91,100,100,84,86,56,74,28,70,0,1
100,63,71,100,10,85,24,43,56,4,0,0,26,38,88,55,8
0,44,28,59,67,78,100,100,89,83,75,56,65,28,67,0,1
63,100,53,74,0,49,65,48,100,56,88,62,71,26,69,0,4
0,0,18,27,48,49,76,73,100,100,94,73,82,40,82,9,1
0,88,5,100,67,98,50,67,63,60,100,36,70,7,5,0,3
37,85,74,100,73,68,49,38,19,10,0,4,51,10,100,0,2
0,61,32,81,74,100,100,93,97,69,97,46,95,23,91,0,1
0,88,35,100,69,85,62,58,66,32,100,14,74,1,31,0,3
7,100,40,89,37,48,21,9,0,0,3,40,48,58,100,65,7
50,83,26,62,58,100,14,60,2,30,50,0,100,51,0,34,8
46,94,16,98,0,48,30,1,87,0,100,51,80,100,27,85,0
57,70,57,100,55,66,33,36,0,16,23,9,60,0,100,3,2
72,100,32,80,9,49,13,16,59,0,100,24,59,41,0,31,6
100,77,53,73,18,92,60,100,84,74,71,42,41,16,0,0,9
100,100,61,93,33,65,15,33,25,0,64,6,44,33,0,37,6
0,80,25,100,61,89,51,57,28,28,0,2,50,0,100,1,2
7,96,59,100,100,89,65,67,71,52,92,31,52,12,0,0,3
100,100,72,90,35,66,6,38,0,8,50,0,69,19,14,22,6
15,100,0,76,8,50,62,47,100,62,82,57,82,28,85,0,4
100,94,53,100,21,84,14,52,62,44,81,14,43,0,0,17,5
8,97,63,100,67,65,56,30,45,0,0,27,29,40,100,40,7
45,100,2,72,0,49,81,55,100,79,88,66,59,33,33,0,4
92,70,34,59,0,75,39,100,89,97,98,65,93,32,100,0,9
0,100,36,90,100,85,66,61,35,19,33,0,63,34,25,28,7
32,53,41,90,100,100,94,60,56,25,0,0,30,9,99,11,2
33,83,1,71,0,13,62,0,100,48,73,100,16,77,8,20,0
28,100,0,73,16,49,75,47,100,63,94,59,93,29,83,0,4
51,99,17,86,0,42,24,2,73,0,100,38,87,82,42,100,0
100,90,95,100,59,70,27,38,6,5,54,0,65,27,0,18,6
27,92,0,66,15,21,60,0,100,28,96,73,53,100,2,92,0
0,22,21,46,61,73,100,100,91,88,61,59,39,30,24,0,1
0,100,46,100,86,84,68,43,56,0,40,9,50,34,100,34,7
42,94,1,70,0,26,44,0,92,22,100,66,64,100,17,84,0
13,93,21,49,51,24,15,0,0,45,18,92,59,100,100,95,5
100,83,37,70,0,84,52,100,94,82,95,55,91,27,92,0,9
19,60,52,87,71,100,57,58,46,16,0,0,49,7,100,8,1
40,83,81,46,79,7,5,0,51,35,100,71,72,100,0,77,8
20,100,0,79,0,45,61,41,98,62,100,74,90,37,82,0,4
1,85,40,100,91,78,41,52,47,45,100,20,56,0,0,15,3
27,100,15,67,0,29,40,17,100,17,97,39,67,37,62,0,4
13,83,42,100,59,67,35,34,0,27,30,32,65,11,100,0,2
0,100,58,94,100,91,61,59,32,20,8,0,20,33,80,34,7
70,81,25,100,0,74,42,40,77,5,40,0,53,40,100,70,8
0,76,35,100,55,100,49,62,44,24,2,0,27,0,100,8,1
21,100,1,76,0,47,65,41,100,58,83,61,75,30,75,0,4
0,94,47,97,97,100,92,56,84,13,67,0,48,19,100,23,7
100,83,20,100,0,68,71,36,89,0,17,15,42,55,98,91,8
49,99,5,74,0,24,46,0,98,21,100,70,55,100,5,79,0
10,100,16,77,0,39,37,18,94,22,100,50,99,39,93,0,4
100,85,64,76,38,97,84,100,90,72,67,45,36,22,0,0,9
0,91,53,100,97,88,79,65,47,45,15,23,39,5,100,0,2
33,100,0,72,6,23,54,0,100,30,88,77,35,97,2,64,0
0,82,41,100,90,88,69,59,73,48,100,19,56,0,3,5,3
2,37,8,25,42,0,89,17,100,59,73,96,23,100,0,62,0
58,85,14,54,35,2,100,58,65,100,21,48,60,64,0,0,0
94,86,55,78,100,78,79,100,90,86,85,40,58,0,0,6,9
88,82,55,100,0,81,38,61,100,76,94,56,75,26,63,0,9
30,96,0,50,7,1,66,0,100,42,86,91,28,100,3,57,0
9,100,0,75,78,72,100,92,74,93,56,62,38,31,21,0,4
19,100,42,95,7,58,0,44,83,34,86,68,90,34,100,0,4
0,56,34,68,69,83,100,100,97,75,87,50,78,24,76,0,1
39,100,24,70,0,40,49,38,100,40,75,65,52,34,43,0,4
10,81,37,100,56,62,44,21,0,13,35,25,75,0,100,30,2
0,90,27,100,81,95,57,72,69,51,100,29,56,13,7,0,3
7,94,54,100,76,80,30,63,73,43,100,17,60,0,0,6,3
20,75,0,45,29,11,69,0,100,26,90,73,56,100,17,94,0
74,100,37,86,6,56,0,22,45,0,100,10,55,32,0,34,6
16,84,56,100,72,65,46,29,8,0,0,16,50,17,100,5,2
0,75,26,100,61,87,55,48,24,22,26,3,65,1,100,0,2
0,69,52,60,100,77,74,100,23,89,47,69,55,36,51,0,9
13,90,44,100,91,99,80,71,100,43,92,17,47,5,0,0,3
19,64,30,100,36,85,41,47,42,9,0,0,50,4,100,12,1
85,78,60,100,28,69,85,68,97,68,100,30,66,0,0,9,9
0,48,17,64,53,84,93,100,100,79,85,53,72,26,68,0,1
100,100,65,90,32,67,5,40,0,8,40,0,36,27,0,20,6
25,90,24,100,61,90,31,64,77,53,100,27,68,4,0,0,3
14,76,57,100,63,55,13,72,71,86,100,37,52,0,0,21,9
90,81,46,57,0,70,27,100,85,98,100,64,86,30,55,0,9
0,86,57,100,100,78,71,46,36,14,30,0,4,32,74,34,7
16,69,59,84,100,100,90,82,68,61,44,40,19,20,0,0,1
25,94,6,58,87,30,85,0,0,17,49,53,100,89,35,100,8
70,74,6,84,57,60,100,96,62,100,100,59,79,15,0,0,9
0,93,63,100,100,90,89,47,77,5,51,0,27,26,94,36,7
78,100,43,92,0,73,14,54,83,55,100,43,63,22,29,0,4
37,89,73,100,58,72,81,59,100,29,75,2,30,0,0,23,3
8,66,17,27,49,0,89,23,100,63,75,97,25,100,0,67,0
40,100,9,66,0,26,43,0,100,17,100,56,61,88,0,89,0
78,100,29,92,4,55,0,16,54,0,100,29,44,33,3,2,6
94,100,52,78,24,50,13,21,47,0,100,15,53,30,0,18,6
41,82,66,100,100,78,62,51,77,43,95,13,49,0,0,8,3
0,38,32,51,64,75,93,100,100,97,91,64,83,32,75,0,1
0,85,42,97,30,75,23,21,72,0,100,47,87,100,36,99,0
0,91,34,100,62,78,58,38,46,0,31,34,57,55,100,59,7
43,84,76,100,100,78,62,55,83,43,99,14,53,0,0,7,3
0,83,26,100,53,84,42,50,16,24,27,5,66,0,100,7,2
13,78,38,100,41,68,24,36,0,10,33,3,68,0,100,3,2
85,92,52,100,56,76,83,85,100,44,88,6,42,0,0,10,9
7,54,43,76,76,100,100,99,78,74,57,49,28,24,0,0,1
0,66,46,79,100,100,97,91,71,68,46,46,26,23,23,0,1
11,69,42,100,73,71,56,29,19,0,0,11,50,13,100,7,2
47,90,75,100,75,72,55,45,26,21,0,0,49,5,100,4,2
61,100,96,98,83,49,46,14,0,0,6,29,54,27,100,8,2
14,79,0,46,18,7,58,0,92,25,100,69,71,100,32,96,0
77,82,55,100,45,76,91,81,100,47,90,14,46,0,0,10,9
40,99,100,100,43,99,6,69,42,50,89,26,60,1,0,0,5
35,89,3,61,8,8,62,0,100,40,82,89,27,100,0,54,0
12,89,0,48,64,45,71,0,26,8,6,59,30,100,100,98,5
39,79,8,71,0,24,40,0,87,24,100,69,62,100,16,80,0
0,92,52,100,81,74,53,40,25,6,12,0,5,30,100,38,7
13,78,35,100,83,96,63,66,27,42,0,13,43,0,100,1,2
38,68,56,100,54,50,32,8,0,0,28,16,63,2,100,8,2
59,94,71,100,100,82,75,62,63,40,75,14,40,1,0,0,3
0,55,41,73,70,95,94,100,93,75,89,50,91,24,100,0,1
71,72,33,76,24,98,78,100,100,73,78,43,41,19,0,0,9
83,100,0,91,11,65,89,76,100,95,83,65,62,33,46,0,9
0,71,59,78,96,100,100,84,94,60,88,35,80,11,84,0,1
0,76,70,100,100,79,60,40,25,0,8,1,12,38,100,47,7
0,73,26,100,66,97,62,63,37,33,12,6,58,0,100,2,2
36,80,71,100,97,79,70,49,100,37,88,5,41,0,0,15,3
0,65,13,100,55,87,48,42,15,9,1,17,51,12,100,0,2
57,100,34,71,0,45,7,41,61,41,100,56,80,32,70,0,4
16,87,66,100,86,81,48,57,77,46,100,21,60,0,0,2,3
0,33,44,52,77,76,100,100,83,73,73,47,65,20,54,0,1
100,100,85,86,60,62,41,36,29,9,58,0,46,21,0,21,6
1,63,3,27,37,0,79,18,100,54,89,90,41,100,0,80,0
100,100,46,92,34,67,79,82,87,75,82,43,49,17,0,0,9
73,99,37,100,62,73,89,91,99,51,100,13,52,0,0,1,9
52,100,22,69,0,36,49,27,100,30,89,56,62,35,43,0,4
58,95,60,64,100,32,83,0,17,20,62,51,69,85,0,100,8
5,82,3,100,86,90,85,64,28,42,100,24,84,2,0,0,3
34,82,0,40,30,0,83,10,100,60,65,100,15,80,7,28,0
98,100,36,99,0,69,30,52,89,49,100,4,42,0,9,36,5
88,100,9,93,8,45,55,0,0,6,37,50,100,84,44,99,8
100,100,58,89,34,55,25,18,58,0,79,32,39,48,0,27,6
100,81,56,100,12,79,0,33,30,0,78,14,94,58,66,93,0
0,73,45,86,90,100,100,90,86,68,73,45,66,23,62,0,1
25,100,7,82,0,46,56,28,100,55,99,73,75,37,66,0,4
95,59,74,100,6,96,0,52,64,59,100,70,73,26,15,0,9
69,82,0,100,22,64,96,36,96,0,33,20,93,53,100,79,8
0,54,61,75,100,100,94,98,65,74,42,49,35,23,68,0,1
73,100,28,85,0,62,5,37,60,32,100,42,82,25,66,0,4
24,80,59,95,100,100,63,92,25,78,21,47,36,16,0,0,5
0,25,52,58,76,98,15,100,54,64,100,29,49,0,9,28,8
49,91,14,65,0,31,18,0,81,6,100,38,86,72,49,100,0
0,68,8,100,33,90,37,50,25,11,45,0,72,6,100,13,2
29,61,97,31,78,0,0,12,45,45,100,77,80,100,9,73,8
0,73,49,82,94,100,100,86,82,65,65,43,43,22,29,0,1
43,78,68,100,100,85,82,58,76,37,78,14,36,0,0,10,3
100,100,75,90,44,67,19,41,0,13,26,0,49,18,2,18,6
96,100,14,91,42,75,45,96,0,67,100,82,54,43,18,0,9
53,100,5,80,0,63,60,64,100,79,79,57,55,26,31,0,4
43,87,100,100,96,93,47,72,53,48,91,34,58,2,0,0,5
0,88,48,100,100,91,73,51,51,9,41,0,21,27,78,33,7
16,69,8,28,43,0,87,23,100,64,75,100,25,94,0,57,0
0,100,52,100,88,81,73,45,58,8,36,0,39,21,100,19,7
0,93,51,97,100,100,77,61,56,22,38,0,23,30,76,31,7
5,73,0,27,38,0,81,12,100,58,78,100,31,99,10,57,0
40,90,0,69,1,24,45,0,88,27,100,71,61,100,15,76,0
0,91,36,100,58,64,42,17,23,0,22,37,61,42,100,47,7
33,100,0,84,3,54,52,41,100,46,69,59,51,30,41,0,4
0,38,18,57,49,80,81,100,100,92,85,61,69,31,63,0,1
69,100,42,83,0,61,9,39,77,41,100,47,62,24,33,0,4
17,98,0,47,31,3,84,0,100,50,71,98,23,100,3,52,0
12,77,36,90,44,100,37,63,46,27,100,21,47,8,0,0,1
100,100,53,91,16,58,0,20,49,0,99,24,64,56,5,53,6
29,67,7,26,42,0,90,19,100,62,75,100,25,95,0,55,0
